Employee Name,Date,In-Time,Out-Time
John Smith,2024-01-01,10:35,18:42
John Smith,2024-01-02,10:22,18:33
John Smith,2024-01-03,10:37,18:40
John Smith,2024-01-04,10:29,18:20
John Smith,2024-01-05,10:43,18:06
John Smith,2024-01-06,10:00,14:00
John Smith,2024-01-07,,
John Smith,2024-01-08,10:33,18:16
John Smith,2024-01-09,10:39,18:42
John Smith,2024-01-10,10:21,18:41
John Smith,2024-01-11,10:11,18:13
John Smith,2024-01-12,10:44,18:23
John Smith,2024-01-13,,
John Smith,2024-01-14,,
John Smith,2024-01-15,10:34,18:04
John Smith,2024-01-16,10:16,18:35
John Smith,2024-01-17,10:21,18:20
John Smith,2024-01-18,10:26,18:40
John Smith,2024-01-19,10:44,18:26
John Smith,2024-01-20,,
John Smith,2024-01-21,,
John Smith,2024-01-22,10:21,18:00
John Smith,2024-01-23,10:08,18:21
John Smith,2024-01-24,10:25,18:23
John Smith,2024-01-25,,
John Smith,2024-01-26,10:27,18:32
John Smith,2024-01-27,,
John Smith,2024-01-28,,
John Smith,2024-01-29,10:33,18:21
John Smith,2024-01-30,10:39,18:21
John Smith,2024-01-31,10:44,18:02
John Smith,2024-02-01,10:22,18:36
John Smith,2024-02-02,,
John Smith,2024-02-03,,
John Smith,2024-02-04,,
John Smith,2024-02-05,10:28,18:22
John Smith,2024-02-06,10:01,18:11
John Smith,2024-02-07,10:35,18:28
John Smith,2024-02-08,10:44,18:34
John Smith,2024-02-09,10:14,18:01
John Smith,2024-02-10,10:00,14:00
John Smith,2024-02-11,,
John Smith,2024-02-12,10:34,17:44
John Smith,2024-02-13,10:16,18:22
John Smith,2024-02-14,10:11,18:06
John Smith,2024-02-15,10:11,18:17
John Smith,2024-02-16,10:14,18:35
John Smith,2024-02-17,,
John Smith,2024-02-18,,
John Smith,2024-02-19,10:19,17:32
John Smith,2024-02-20,10:08,18:31
John Smith,2024-02-21,10:44,18:18
John Smith,2024-02-22,10:24,18:39
John Smith,2024-02-23,10:44,18:02
John Smith,2024-02-24,10:00,14:00
John Smith,2024-02-25,,
John Smith,2024-02-26,10:44,18:36
John Smith,2024-02-27,10:41,18:06
John Smith,2024-02-28,10:34,18:25
John Smith,2024-02-29,10:24,18:31
John Smith,2024-03-01,10:06,18:04
John Smith,2024-03-02,,
John Smith,2024-03-03,,
John Smith,2024-03-04,10:14,18:14
John Smith,2024-03-05,10:04,17:40
John Smith,2024-03-06,10:11,18:22
John Smith,2024-03-07,10:43,18:34
John Smith,2024-03-08,10:26,18:42
John Smith,2024-03-09,,
John Smith,2024-03-10,,
John Smith,2024-03-11,10:02,18:16
John Smith,2024-03-12,10:10,18:38
John Smith,2024-03-13,10:15,18:11
John Smith,2024-03-14,10:12,18:43
John Smith,2024-03-15,10:35,19:20
John Smith,2024-03-16,,
John Smith,2024-03-17,,
John Smith,2024-03-18,10:13,18:37
John Smith,2024-03-19,10:36,18:17
John Smith,2024-03-20,10:23,18:11
John Smith,2024-03-21,,
John Smith,2024-03-22,10:18,18:09
John Smith,2024-03-23,10:00,14:00
John Smith,2024-03-24,,
John Smith,2024-03-25,10:42,18:03
John Smith,2024-03-26,10:29,18:08
John Smith,2024-03-27,10:44,19:17
John Smith,2024-03-28,10:27,18:03
John Smith,2024-03-29,10:00,18:02
John Smith,2024-03-30,10:00,14:00
John Smith,2024-03-31,,
John Smith,2024-04-01,10:02,19:25
John Smith,2024-04-02,10:30,18:32
John Smith,2024-04-03,10:10,18:00
John Smith,2024-04-04,10:38,18:24
John Smith,2024-04-05,10:38,18:21
John Smith,2024-04-06,10:00,14:00
John Smith,2024-04-07,,
John Smith,2024-04-08,10:31,19:21
John Smith,2024-04-09,10:19,18:44
John Smith,2024-04-10,10:37,18:21
John Smith,2024-04-11,10:08,18:17
John Smith,2024-04-12,10:39,18:35
John Smith,2024-04-13,10:00,14:00
John Smith,2024-04-14,,
John Smith,2024-04-15,10:43,18:26
John Smith,2024-04-16,10:33,18:17
John Smith,2024-04-17,10:33,18:07
John Smith,2024-04-18,,
John Smith,2024-04-19,10:18,18:06
John Smith,2024-04-20,,
John Smith,2024-04-21,,
John Smith,2024-04-22,10:39,18:20
John Smith,2024-04-23,,
John Smith,2024-04-24,10:12,18:06
John Smith,2024-04-25,10:07,18:05
John Smith,2024-04-26,10:12,18:39
John Smith,2024-04-27,10:00,14:00
John Smith,2024-04-28,,
John Smith,2024-04-29,10:37,18:12
John Smith,2024-04-30,10:01,18:23
John Smith,2024-05-01,10:40,18:06
John Smith,2024-05-02,10:24,18:03
John Smith,2024-05-03,,
John Smith,2024-05-04,10:00,14:00
John Smith,2024-05-05,,
John Smith,2024-05-06,10:29,18:04
John Smith,2024-05-07,10:23,18:23
John Smith,2024-05-08,10:44,18:04
John Smith,2024-05-09,10:10,18:26
John Smith,2024-05-10,10:02,18:20
